gene_id	muscle_dietP_logFC	whole_body_dietP_logFC
FBpp0070000	0.0833961445513374	0.0506902109968393
FBpp0070001	-0.0548838333271074	-0.532948413255279
FBpp0070002	-1.1198037318086	0.440122859621114
FBpp0070005	0.0105187575634618	0.0455205055520018
FBpp0070006	-0.182539296131517	-0.130812062988274
FBpp0070007	-0.119181959349185	-0.0992188747773932
FBpp0070025	-0.0991351710624845	-0.318480656018941
FBpp0070026	-0.0270325926872089	0.175712478577905
FBpp0070027	-0.10104761176105	0.173971169735477
FBpp0070028	-1.11975352182682	0.455126070460763
FBpp0070031	0.0688177546573814	-1.54844199598692
FBpp0070034	0.12106137882328	-0.552040957865658
FBpp0070035	-0.177930119531312	0.0369792354206328
FBpp0070037	-0.0225265464124464	0.246315875664594
FBpp0070039	-0.0641710103190525	0.00903516341040389
FBpp0070044	-0.0382148366997864	0.136142650382697
FBpp0070045	-0.0535995834035063	0.226335742934439
FBpp0070049	-0.0329501368632004	-0.334819649756111
FBpp0070051	-0.131508856223892	-0.163648860972194
FBpp0070052	-0.0338334588851474	-0.337706336468301
FBpp0070054	-0.172624676056644	-0.213543151058173
FBpp0070056	-0.0101884740632524	-0.512981287118968
FBpp0070057	-0.0223413479872383	0.0697041316997837
FBpp0070063	-0.0221868044491682	0.0977598529276792
FBpp0070065	0.358825496734686	0.0781089324653189
FBpp0070068	-0.0255446208690452	-0.328650253249309
FBpp0070069	0.0952637097573832	-0.385234310943711
FBpp0070070	-0.399501644951137	-0.00124298823386315
FBpp0070071	-0.00294086157694984	0.500417493013285
FBpp0070072	-0.0049788315983621	0.331020248251115
FBpp0070073	-0.22354494780414	0.616623016620853
FBpp0070074	0.00425208910230235	0.433718567459277
FBpp0070076	0.0761458001805922	0.105960610895808
FBpp0070077	-0.165562760459267	-0.032313977548172
FBpp0070078	-0.0694709149789454	-0.0967221336786923
FBpp0070079	-0.0457519644642628	-0.0282556186158038
FBpp0070083	-0.0176334065695981	-0.148229512335277
FBpp0070085	-0.0831755383301138	0.0235876774564959
FBpp0070087	0.0403805093067651	-0.0123447122921335
FBpp0070089	-0.106089370781634	-0.00906530718295773
FBpp0070094	-0.139007817367335	0.000140577790006952
FBpp0070095	0.0717724445075845	-0.802396509007788
FBpp0070096	0.0328027092825864	0.0303986332557244
FBpp0070098	-0.0368786593043224	0.149663425064679
FBpp0070101	0.0151853934164294	0.0225046005193802
FBpp0070103	-0.0432392462153544	0.240138253308974
FBpp0070105	-0.017262935222271	-0.0792740683593189
FBpp0070110	-0.106775524258485	-0.131185967938728
FBpp0070111	-0.0647840209775976	-0.0547628886204876
FBpp0070114	-0.00915906609337869	0.0478839193342911
FBpp0070115	-0.0950948106401228	0.232372663165208
FBpp0070116	-0.148415230897126	0.0224842457200956
FBpp0070124	-0.0163926556470264	0.0318248689699042
FBpp0070129	-0.0263399028891307	-0.0221636751269597
FBpp0070130	-0.0428456272095787	0.0346650113659853
FBpp0070137	0.0689134549332144	-1.55071276736758
FBpp0070140	-0.0137547708723813	-0.622293531259341
FBpp0070141	-0.0499594840952144	0.0456976176844585
FBpp0070142	0.0311761247053252	-0.622122843699977
FBpp0070143	-0.114713838211887	-0.0932947461442546
FBpp0070144	-0.0175864551174705	-0.0472812253267854
FBpp0070145	0.172308265252263	0.0774932298506664
FBpp0070146	-0.0562278475149929	0.143674699482699
FBpp0070150	-0.142172173725932	-0.00654854588370735
FBpp0070154	-0.0857175952930085	0.00440628458374337
FBpp0070155	-0.0390014806754959	0.00301327899073045
FBpp0070158	0.0554262190191263	-0.193390327860187
FBpp0070159	-0.0332937643419536	-0.657594095909372
FBpp0070160	-0.0803889622610647	0.0311871792153304
FBpp0070162	0.0254256519618812	-0.000149754564016558
FBpp0070165	-0.114958834681578	0.108244142524566
FBpp0070166	0.202701186962445	0.230212913262804
FBpp0070167	-0.0929649258504096	-0.733292647973546
FBpp0070168	-0.14778212062639	-0.0647708941585098
FBpp0070169	-0.0597608585921123	-0.148239965787403
FBpp0070170	-0.053814004116566	-0.680223055016949
FBpp0070171	-0.0994473497981625	-0.0861099543556202
FBpp0070172	-0.0343746643770967	-0.122310738707151
FBpp0070173	-0.0170443285412646	-0.168835995761781
FBpp0070175	-0.0726617678839788	-0.193449082460846
FBpp0070176	0.00445336526612328	-0.000226783320765644
FBpp0070177	0.220999224499189	0.456938836317341
FBpp0070178	0.0165476308314345	0.278907636138798
FBpp0070179	0.00223791742613122	-0.141983150135245
FBpp0070180	-0.0497343053750873	-0.0766224222104055
FBpp0070181	-0.177431849379156	-0.0750538095157199
FBpp0070182	-0.005213816985843	-1.05856262823227
FBpp0070188	0.0644193360356349	-1.31220370789686
FBpp0070190	-0.0263718894944425	-0.5799064509577
FBpp0070191	0.046342289397787	-0.505918581468997
FBpp0070192	0.0315349985840784	-0.0563027617760339
FBpp0070193	0.078842750122768	-0.419202824976931
FBpp0070194	-0.229034967990207	0.143302640364612
FBpp0070195	0.0670106297607248	0.934446813636898
FBpp0070196	0.736667192501233	1.11598764813302
FBpp0070197	0.0682989330422641	-1.05258031431403
FBpp0070198	-0.00906094046281614	0.898438350044635
FBpp0070199	-0.0160114853396424	-0.511248573999539
FBpp0070200	-0.0101943262420763	-0.599425242313034
FBpp0070202	-0.108552124243148	0.0318415462731957
FBpp0070204	0.0128900119781932	-0.38836666192773
FBpp0070205	-0.117016166107167	-0.101617237263239
FBpp0070206	-0.00553755425449554	0.66379445201307
FBpp0070208	-0.115281672476443	-0.0737613273403709
FBpp0070221	-0.139589277584579	-0.0576689632104734
FBpp0070222	-0.0275590852990315	-0.365371913389142
FBpp0070224	-0.0989364087978963	-0.0858654363784991
FBpp0070225	0.0449693447545156	-0.1176723271188
FBpp0070226	-0.0461322366965895	0.166169937931597
FBpp0070227	-0.0426482025848258	-0.0111004087079414
FBpp0070228	-0.197690095458291	0.212665764984008
FBpp0070235	-0.0373896222301081	-0.0748547843558742
FBpp0070240	-0.0240978699915044	0.0778463000832063
FBpp0070241	-0.0593293726864835	-1.12923641158027
FBpp0070242	-0.0760081162720756	-0.483242296206408
FBpp0070243	-0.211540181673842	-0.0703088623647489
FBpp0070244	-0.415527511464223	-0.00160249746904584
FBpp0070245	-0.10175198790762	-0.015405349315769
FBpp0070247	-0.0864705105616353	-0.138182634173589
FBpp0070249	-0.132046929809796	-0.00460611330362759
FBpp0070250	-0.0800451770970998	0.164722035801422
FBpp0070259	-0.044758401059563	0.0825997417153901
FBpp0070260	-0.0979756515063626	-0.046252023875856
FBpp0070262	-0.601916752375349	0.11220014940211
FBpp0070267	-0.00995449368389045	-0.373506805084531
FBpp0070268	-0.0895959145405091	-0.617091062203906
FBpp0070269	-0.0952794472399972	0.124276880372402
FBpp0070273	-0.109475934975672	-0.0435185945638755
FBpp0070274	0.0180289302781562	-0.17953128583087
FBpp0070275	0.0600134295300769	-0.00464043807931747
FBpp0070276	0.0149843207513944	-0.254526741195154
FBpp0070277	-0.141842474877819	-0.00224939457209172
FBpp0070280	-0.0397793227905372	-0.191852973645251
FBpp0070282	-0.179129931575096	-0.122894170562614
FBpp0070283	-0.111812771975287	0.0650083270547638
FBpp0070284	-0.11315964884215	0.0147720778880478
FBpp0070285	0.0368900364290146	-0.519363042795078
FBpp0070288	-0.0431897956376761	-0.627963609159665
FBpp0070295	-0.0613122217668984	-0.0726805050708442
FBpp0070297	-0.0615342294434814	-0.202789327852063
FBpp0070298	-0.0701937140585724	0.148133578156239
FBpp0070299	-0.0743956124554748	0.0421660093633397
FBpp0070300	-0.0938333691542217	-0.0358641229239801
FBpp0070301	-0.140816602252505	0.0806384625871388
FBpp0070302	-0.0726567799027293	0.0559604753920413
FBpp0070303	-0.0757877138247639	0.0261667966600998
FBpp0070304	-0.0587884016339519	0.0322762921077907
FBpp0070305	-0.079766306640749	0.0675025011141737
FBpp0070308	-0.0530898364101062	-0.00159719182585905
FBpp0070314	-0.0437437475397275	-0.157776648115476
FBpp0070316	-0.0769945850547874	0.0653144355061419
FBpp0070317	-0.0694730765580092	0.0401858347073493
FBpp0070320	-0.109714280240993	-0.0226185516442052
FBpp0070324	-0.0492711159215271	-0.393384571302971
