Annotee-Identifier	Human-Readable-Description
OG0000091	small ribosomal subunit protein es
OG0000713	transcription factor sox
OG0000103	udp glucuronosyltransferase 2b17
OG0000845	synapsin
OG0000146	c motif chemokine
