Annotee-Identifier	Human-Readable-Description
OG0013940	lim domain binding protein 1
OG0012119	carbonic anhydrase protein
OG0009004	tyrosine protein kinase btk
OG0012272	aromatic l amino acid decarboxylase
OG0000558	calcium activated chloride channel regulator 1
OG0013730	nuclear envelope pore membrane protein pom
OG0005192	serine threonine protein phosphatase regulatory ankyrin repeat subunit c
OG0004093	prostaglandin receptor
OG0004965	voltage dependent calcium channel gamma subunit
OG0008178	serine hydrolase protein
OG0004477	polypyrimidine tract binding protein
OG0010968	shugoshin
OG0000530	olfactory receptor protein
OG0000660	interstitial collagenase
OG0012258	eukaryotic translation initiation factor subunit j
OG0004588	y+l amino acid transporter
OG0012357	dual specificity protein kinase clk
OG0011296	zinc finger protein
OG0009749	e3 ubiquitin protein ligase rnf
OG0009911	ef hand calcium binding domain containing protein
OG0004509	mini chromosome maintenance complex binding protein
OG0000048	olfactory receptor protein
OG0012449	receptor interacting serine threonine protein kinase
OG0001788	docking protein
OG0005806	plant cysteine oxidase
OG0004304	rho gtpase activating protein
OG0012957	amyloid beta a4 precursor protein binding family b member 1 interacting
OG0012686	claudin
OG0005062	ntpase kap family p loop domain containing protein
OG0014211	protocadherin gamma
OG0006918	collagen alpha chain
OG0008150	membrane protein mlc
OG0010857	peptide chain release factor 1
OG0001008	v type proton atpase subunit e
OG0008330	t complex protein subunit delta
OG0011356	microtubule associated tumor suppressor
OG0010979	collagen alpha vi chain
OG0013589	complement component c8 beta chain
OG0005678	n acetylaspartate synthetase
OG0013792	zinc finger miz domain containing protein
OG0010111	trna 2 phosphotransferase
OG0005630	semaphorin
OG0012683	coiled coil domain containing protein
OG0002226	tbc domain family member
OG0011037	p2y purinoceptor
OG0002222	guanine nucleotide binding protein g i s t subunit beta
OG0002978	olfactory receptor
OG0000754	beta defensin
OG0007430	nadp dependent oxidoreductase domain containing protein
OG0009260	unknown sequence family
OG0008362	retroviral aspartic protease
OG0006574	zinc finger hit domain containing protein
OG0004213	kit ligand
OG0009059	muskelin
OG0006727	vps endosomal protein sorting factor
OG0005449	lysine specific histone demethylase
OG0004157	laminin subunit gamma
OG0011682	protein phosphatase 2c
OG0015346	zinc finger protein
OG0008449	unknown sequence family
OG0000853	zinc type alcohol dehydrogenase protein
OG0006934	alpha n beta sialyltransferase
OG0006436	l fucose kinase
OG0001715	retinol dehydrogenase
OG0010546	dan domain family member
OG0003335	ciliary microtubule associated protein
OG0014972	trafficking protein particle complex subunit
OG0006320	trna pseudouridine synthase
OG0013718	dna repair protein rad
OG0011530	2 oxoglutarate and iron dependent oxygenase domain containing protein
OG0005217	acyl coa binding domain containing protein 5
OG0004053	comm domain containing protein
OG0000060	ras protein rap 1b
OG0015034	unknown sequence family
OG0011045	protein lekr
OG0013049	glutamate proline trna ligase
OG0012513	integrator complex subunit
OG0009167	endonuclease exonuclease phosphatase family domain containing protein
OG0007688	nucleolar transcription factor 1
OG0005929	ganglioside gm activator
OG0002033	gdnf family receptor alpha
OG0002671	g protein inward rectifier potassium channel
OG0002254	nadh dehydrogenase [ubiquinone] beta subcomplex subunit
OG0006302	zinc finger protein gli
OG0014864	dual specificity protein kinase clk
OG0014085	protocadherin beta
OG0013433	seminal vesicle secretory protein 3a
OG0001113	n acetyllactosaminide alpha galactosyltransferase
OG0012932	general transcription factor 3c polypeptide
OG0011759	microfibrillar associated protein
OG0009010	mitochondria eating protein
OG0002912	ekc keops complex subunit bud
OG0001193	developmentally regulated gtp binding protein
OG0013911	beta crystallin
OG0003396	guanine nucleotide exchange factor mss
OG0010141	leucine rich repeat containing protein 10b
OG0009197	forkhead box protein d3
OG0009241	chromatin modification protein meaf
OG0014629	exonuclease mut
OG0008415	meiosis specific kinetochore protein
OG0008149	regulator of nonsense transcripts
OG0011662	integral membrane protein dgcr idd
OG0011183	unknown sequence family
OG0009708	serine arginine rich splicing factor
OG0008801	arginine trna ligase
OG0013649	leucine rich repeat containing protein
OG0013250	protein pof1b
OG0015326	olfactory receptor
OG0012675	transforming growth factor beta activator lrrc
OG0004455	tryptophan 5 hydroxylase
OG0001830	ras gtp binding protein
OG0014288	guanine nucleotide binding protein g i s o subunit gamma
OG0005262	proline and serine rich protein
OG0005489	msx interacting protein
OG0000981	speedy protein 1
OG0014734	chordin protein
OG0002822	krueppel factor
OG0004071	interleukin receptor antagonist protein
OG0008552	alpha
OG0009222	caax prenyl protease
OG0013379	protein yipf
OG0008227	btb poz domain containing protein kctd
OG0014673	serine protease
OG0014311	ropporin protein
OG0011303	transmembrane channel protein 2
OG0009147	proline rich protein
OG0014031	intelectin protein
OG0007552	barh homeobox protein
OG0011541	26s proteasome non atpase regulatory subunit
OG0010464	exosome complex component rrp
OG0009949	tetratricopeptide repeat protein
OG0011619	rhomboid domain containing protein
OG0001058	histone h1 01
OG0003012	nitric oxide synthase inducible
OG0006635	proteasome assembly chaperone
OG0012259	telomere repeats binding bouquet formation protein
OG0006176	sperm associated antigen
OG0014113	retinoic acid receptor rxr alpha
OG0000938	atp synthase membrane subunit k mitochondrial
OG0008104	protein phosphatase
OG0012519	cdgsh iron sulfur domain containing protein
OG0013846	transmembrane reductase cyb561d2
OG0015060	odorant binding protein
OG0009978	kelch protein
OG0005437	chloride intracellular channel protein
OG0010917	inactive ubiquitin carboxyl terminal hydrolase mindy
OG0010309	pro thyrotropin releasing hormone
OG0006872	fibronectin protein
OG0000036	olfactory receptor 10j5
OG0010153	coiled coil domain containing protein
OG0010335	calcium calmodulin dependent protein kinase type
OG0011392	scrapie responsive protein
OG0004038	thiopurine s methyltransferase
OG0004515	metalloproteinase inhibitor
OG0009929	bet protein
OG0008203	clathrin interactor epsin
OG0001012	palmitoyltransferase zdhhc
OG0014006	circadian locomoter output cycles protein kaput
OG0013922	heme binding protein
OG0001800	ep interacting inhibitor of differentiation
OG0004392	interleukin
OG0015272	substance p receptor
OG0014847	tyrosine protein kinase otk
OG0008520	stimulated by retinoic acid gene protein
OG0000634	interferon regulatory factor 2 binding protein
OG0006602	kda heat and acid stable phosphoprotein
OG0013386	taste receptor type member
OG0004958	dynein axonemal assembly factor
OG0008014	mitochondrial adenyl nucleotide antiporter slc25a24
OG0011866	keratin type ii cytoskeletal
OG0011273	oxysterol binding protein
OG0015206	protein twist
OG0010295	abasic site processing protein hmces
OG0007563	casein kinase i delta
OG0013620	calcium calmodulin dependent protein kinase type
OG0009921	fibrinogen c domain containing protein 1
OG0000064	keratin associated protein
OG0006109	serine threonine protein kinase sik
OG0010145	pep dependent dihydroxyacetone kinase 2 binding subunit
OG0000243	sperm motility kinase
OG0013780	eh domain containing protein
OG0010356	chemokine protein tafa
OG0001672	leucine aminopeptidase
OG0013517	e3 ubiquitin protein ligase rnf
OG0007986	nuclear pore complex protein nup
OG0000724	pleckstrin homology domain containing family a member
OG0007939	transmembrane protein
OG0010516	mediator of rna polymerase ii transcription subunit
OG0007922	p2x purinoceptor
OG0007032	vitronectin
OG0007124	hyaluronan and proteoglycan link protein
OG0004494	small edrk rich factor
OG0006745	sorting nexin
OG0015477	transcriptional enhancer factor tef
OG0003930	mitochondrial nicotinamide adenine dinucleotide transporter slc25a51
OG0011026	zinc finger protein zic 2
OG0007632	n acetyltransferase protein
OG0015102	tyrosine protein kinase abl
OG0011229	zinc finger protein
OG0015302	olfactory receptor
OG0013992	coagulation factor x
OG0001384	ubiquitin associated and sh domain containing protein
OG0004328	microtubule associated protein
OG0004828	tubulin polyglutamylase ttll
OG0003878	ankyrin repeat domain containing protein 33b
OG0012150	small ribosomal subunit protein bs1m
OG0009473	receptor activity modifying protein
OG0014244	ankyrin repeat and socs box protein
OG0011237	protein phosphatase eya
OG0000158	protein ssx
OG0000879	interferon activable protein 205
OG0003738	heterogeneous nuclear ribonucleoprotein d
OG0000957	d 1 dopamine receptor
OG0012285	cell cycle progression protein
OG0006347	upf protein c1orf174
OG0009088	testis expressed protein
OG0005688	mediator of rna polymerase ii transcription subunit
OG0014578	a domain containing protein
OG0011605	myosin
OG0004867	g kinase anchoring protein 1
OG0006301	nucleoporin ndc
OG0010037	regulator of nonsense transcripts
OG0002500	keratin associated protein
OG0011239	exportin
OG0002866	rna binding protein 4b
OG0007987	laminin subunit gamma
OG0012278	secretogranin
OG0013216	fyve rhogef and ph domain containing protein
OG0005920	gem associated protein
OG0003495	essential mcu regulator mitochondrial
OG0004811	sr and ctd associated factor
OG0009784	sepiapterin reductase
OG0006563	e3 ubiquitin protein ligase uhrf
OG0012339	leucine rich repeat containing protein
OG0009572	sorbin and sh domain containing protein
OG0015147	gap junction beta protein
OG0003470	nuclear distribution protein pac
OG0015488	myopalladin
OG0000642	matrix metalloproteinase
OG0008266	interleukin protein
OG0001510	solute carrier organic anion transporter family member
OG0000863	sideroflexin
OG0001506	cytochrome c oxidase subunit 13 mitochondrial
OG0008437	myosin light chain kinase smooth muscle
OG0003078	h 2 class ii histocompatibility antigen a beta chain
OG0000865	ras protein ral a
OG0000557	alpha enolase
OG0001605	cadherin
OG0001597	cmp n acetylneuraminate beta galactosamide alpha sialyltransferase
OG0006565	ribosomal rna small subunit methyltransferase f
OG0003996	olfactory receptor 5ar1
OG0009871	fibroblast growth factor
OG0010119	taf rna polymerase ii p300 cbp associated factor kda subunit 6l
OG0001809	homeobox protein meis
OG0006464	y+l amino acid transporter
OG0001407	voltage gated potassium channel regulatory subunit kcng
OG0001088	c x chemokine receptor type 4
OG0008796	zinc finger protein
OG0009971	mitochondrial inner membrane protease subunit
OG0006930	mitoguardin
OG0009176	transmembrane protein 168
OG0007110	ena vasp protein
OG0000249	small ribosomal subunit protein us
OG0003603	nadh dehydrogenase [ubiquinone] beta subcomplex subunit 2 mitochondrial
OG0009635	cytosolic 5 nucleotidase
OG0006036	leucine rich repeats and immunoglobulin domains protein
OG0015141	endotoxic shock protective protein u9
OG0009382	ubiquinol cytochrome c reductase complex assembly factor
OG0007405	atp binding cassette sub family d member
OG0006344	coiled coil domain containing protein
OG0011397	endonuclease
OG0006754	ubiquitin carboxyl terminal hydrolase
OG0004109	tight junction protein
OG0014537	claudin domain containing protein
OG0004096	vascular endothelial growth factor a
OG0014721	thrombospondin type domain containing protein
OG0005980	g protein coupled receptor associated lmbrd
OG0010537	ddb and cul associated factor
OG0007927	nmda receptor synaptonuclear signaling and neuronal migration factor
OG0004850	sterile alpha motif domain containing protein
OG0004445	myosin light chain kinase 2
OG0014421	protein transport sec gamma subunit
OG0011501	dickkopf protein
OG0012124	armadillo repeat containing protein
OG0012312	atp dependent dna helicase pif
OG0009842	unknown sequence family
OG0012872	polypeptide n acetylgalactosaminyltransferase
OG0014872	krab zinc finger protein
OG0010824	folate receptor
OG0012162	nibrin
OG0000033	zinc finger protein
OG0008556	palmdelphin
OG0013101	nyctalopin
OG0010998	serine threonine protein phosphatase 2a regulatory subunit b
OG0001412	protein phosphatase eya
OG0001112	dynein light chain roadblock type
OG0007944	sex regulated protein janus a
OG0002495	x antigen family member
OG0005500	pr domain zinc finger protein
OG0007972	protein phosphatase regulatory subunit
OG0007877	fmr interacting protein nufip
OG0012693	geminin coiled coil domain containing protein
OG0006107	proprotein convertase subtilisin kexin type
OG0005577	dna mismatch repair protein msh
OG0005745	unknown sequence family
OG0014661	alanine aminotransferase 1
OG0013489	eukaryotic translation initiation factor 4e binding protein
OG0008102	monocarboxylate transporter 12
OG0010828	protein n and lysine methyltransferase
OG0014172	adp arh
OG0004069	low density lipoprotein receptor protein
OG0003983	mitochondrial substrate carrier family protein
OG0005066	zinc finger chromosomal protein
OG0008536	syntaxin
OG0001813	ferritin heavy chain
OG0000960	serine threonine protein phosphatase 2a kda regulatory subunit b
OG0000698	receptor type tyrosine protein phosphatase
OG0007911	clustered mitochondria protein
OG0006613	integrator complex subunit
OG0004736	cd antigen
OG0012074	e2 independent e3 ubiquitin conjugating enzyme fats
OG0000273	high mobility group protein b1
OG0014772	c type lectin domain family member l
OG0000496	leucine rich repeat containing protein
OG0005893	unknown sequence family
OG0006843	protein fam234a
OG0005944	endothelial cell specific molecule
OG0002885	scaffold attachment factor b1
OG0012589	rna polymerase ii associated protein
OG0015036	matrix metalloproteinase
OG0013350	nutritionally regulated adipose and cardiac enriched protein
OG0001929	claudin protein
OG0009028	chain enoyl coa reductase
OG0011175	glutathione synthetase
OG0002747	thermosome subunit
OG0012982	fyve and domain containing protein
OG0006120	6 pyruvoyl tetrahydrobiopterin synthase
OG0001336	h 2 class ii histocompatibility antigen a alpha chain
OG0003750	atp dependent rna helicase dhx
OG0003868	h aca ribonucleoprotein complex subunit
OG0005683	e3 ubiquitin protein ligase tm
OG0002874	mitochondrial intermembrane space import and assembly protein 40
OG0013673	zinc finger and btb domain containing protein
OG0009190	guanylate cyclase activator 2b
OG0007870	tlc domain containing protein
OG0008423	zinc finger cchc domain containing protein
OG0006444	tyrosine aminotransferase
OG0014764	gag polyprotein
OG0004880	transcription factor sp
OG0014226	myosin light chain kinase member
OG0009053	multiple myeloma tumor associated protein
OG0012007	transcription initiation factor tfiid subunit
OG0014213	pleckstrin homology domain containing family g member
OG0014680	disintegrin and metalloproteinase domain containing protein
OG0000805	ras gtpase activating protein
OG0003723	kda repressor of the inhibitor protein kinase
OG0003687	ras association domain containing protein
OG0011519	polyubiquitin
OG0000555	carnitine o acetyltransferase
OG0001894	islet cell autoantigen protein
OG0013038	protein fam72a
OG0009316	cilia and flagella associated protein
OG0005475	delta pyrroline carboxylate dehydrogenase mitochondrial
OG0005621	rna exonuclease
OG0004416	superoxide dismutase [cu zn]
OG0006387	zinc finger protein
OG0003608	zinc finger protein
OG0007105	protein lin
OG0013947	kelch and protein
OG0014356	intercellular adhesion molecule
OG0003602	small ribosomal subunit protein ms
OG0006493	cytosolic iron sulfur assembly component
OG0000333	cytochrome c
OG0008688	mam domain containing glycosylphosphatidylinositol anchor protein
OG0002328	rwd domain containing protein
OG0005355	dynein regulatory complex subunit
OG0010461	leucine trna ligase
OG0004591	anion exchange protein
OG0001691	kinesin protein kin 8a
OG0009161	7 methylguanosine phosphate specific 5 nucleotidase
OG0012875	signal transducing adapter molecule
OG0008478	dynein axonemal intermediate chain
OG0015376	testis specific serine threonine protein kinase
OG0014238	large ribosomal subunit protein ul
OG0011264	ankyrin repeat domain containing protein
OG0004623	olfactory receptor
OG0013392	arf gap with gtpase ank repeat and ph domain containing protein
OG0002416	ell associated factor
OG0010465	palmitoyltransferase zdhhc
OG0002844	taste receptor type member
OG0006239	polyubiquitin b
OG0008404	zinc finger protein
OG0000547	acyl protein thioesterase
OG0010946	mitochondrial glycine transporter
OG0006726	iq domain containing protein k
OG0003462	glucocorticoid induced transcript protein
OG0015121	unknown sequence family
OG0010473	nadh dehydrogenase [ubiquinone] alpha subcomplex subunit
OG0013239	monocarboxylate transporter
OG0014236	beta defensin
OG0013842	protein spmip
OG0011422	lysyl oxidase
OG0013086	protein turtle a
OG0008276	thioredoxin domain containing protein
OG0012894	corepressor interacting with rbpj
OG0013630	unknown sequence family
OG0012244	haus augmin complex subunit
OG0013484	disintegrin and metalloproteinase domain containing protein
OG0006340	tetratricopeptide repeat protein
OG0002841	golgin subfamily a member
OG0005805	early growth response protein 1
OG0012049	phosphatidylinositol phosphatase sac
OG0012321	programmed cell death protein
OG0011641	eukaryotic translation initiation factor 4e transporter
OG0006403	mtor associated protein meak
OG0013157	ap complex subunit sigma
OG0014535	homeobox protein otx
OG0006256	dynein regulatory complex subunit
OG0008235	dna replication licensing factor mcm
OG0013510	olfactory receptor
OG0010385	serine threonine protein kinase nek
OG0007731	keratin type i cytoskeletal
OG0006064	neurogranin
OG0004411	tumor necrosis factor receptor superfamily member 12a
OG0003532	small ribosomal subunit protein
OG0007909	zinc finger and btb domain containing protein 1
OG0002098	respiratory burst oxidase protein
OG0014615	small ribosomal subunit protein es
OG0006887	paralemmin
OG0007260	proteasome subunit beta type
OG0011918	poly adp ribose glycohydrolase
OG0010585	zinc finger protein
OG0015009	mrna decay activator protein zfp
OG0004041	kh domain containing rna binding protein qki
OG0005080	urokinase plasminogen activator surface receptor
OG0008840	afg atpase
OG0013807	phospholipase abhd
OG0005642	wd repeat containing protein
OG0009966	coagulation factor ix
OG0007900	pre mrna splicing factor
OG0005238	maguk p55 subfamily member
OG0001796	ankyrin repeat and btb poz domain containing protein 3
OG0015315	olfactory receptor protein
OG0013582	placenta specific protein
OG0002587	mitochondrial import inner membrane translocase subunit tim
OG0002999	unknown sequence family
OG0007857	intraflagellar transport protein
OG0006398	unknown sequence family
OG0000498	homeobox protein hox d4
OG0005968	rapamycin insensitive companion of mtor
OG0001640	ornithine aminotransferase mitochondrial
OG0005461	protein fam43a
OG0011254	protein fam210b mitochondrial
OG0013269	morc family cw type zinc finger protein
OG0007724	outer dynein arm docking complex subunit
OG0010983	serine threonine protein kinase nek
OG0009756	e3 ubiquitin protein ligase
OG0007658	b cell antigen receptor complex associated protein beta chain
OG0000711	trpm channel associated factor
OG0008650	suppressor apc domain containing protein
OG0008123	calcium activated potassium channel subunit beta
OG0012219	protein dispatched
OG0008927	tbc domain family member
OG0005451	complement c1q subcomponent subunit
OG0004018	inducible t cell costimulator
OG0010248	transmembrane protein
OG0015510	kallikrein peptidase
OG0001915	protein robo
OG0006950	unknown sequence family
OG0010881	lysophosphatidic acid receptor
OG0004354	tumor necrosis factor ligand member
OG0010808	protein arginine n methyltransferase 1
OG0003821	activin receptor type
OG0002511	inactive oocyte specific homeobox protein
OG0003507	negative elongation factor e
OG0005329	coiled coil domain containing protein
OG0005899	ef hand calcium binding domain containing protein
OG0004009	rna binding protein
OG0013796	glutathione reductase
OG0000952	kelch and protein
OG0012508	dickkopf protein
OG0004021	transcription factor sox
OG0004996	kda ras protein
OG0014636	large ribosomal subunit protein el
OG0005797	phytanoyl coa hydroxylase interacting protein
OG0004215	breast cancer type susceptibility protein
OG0011554	coiled coil domain containing protein
OG0010017	p53 induced death domain containing protein
OG0014542	calcium binding protein
OG0013150	fanconi anemia group b protein
OG0014666	unknown sequence family
OG0014683	beta defensin 108b
OG0015243	unknown sequence family
OG0010071	unknown sequence family
OG0005114	atypical kinase mitochondrial
OG0009484	zinc finger protein
OG0013299	ets transcription factor elf
OG0010310	intraflagellar transport protein
OG0014608	t cell receptor alpha variable
OG0004151	endoplasmin
OG0008407	peptidyl prolyl cis trans isomerase b
OG0007448	protein hook
OG0008951	tigger transposable element derived protein
OG0009616	allantoicase
OG0006388	protein banp
OG0001882	transcription factor sp
OG0009482	up regulator of cell proliferation
OG0001434	structural maintenance of chromosomes protein
OG0012257	ctd small phosphatase protein 2
OG0008278	mit domain containing protein
OG0011238	zinc finger mynd containing protein
OG0003837	mitochondrial fission regulator 1
OG0013585	complement c1q and tumor necrosis factor protein
OG0013151	vesicle associated membrane protein
OG0014533	zinc finger protein
OG0005903	protein spindly
OG0008716	host cell factor
OG0003545	ribosome production factor
OG0004014	tryptophan 5 hydroxylase
OG0015014	olfactory receptor
OG0002713	atp synthase f 0 complex subunit b1 mitochondrial
OG0006953	unknown sequence family
OG0006585	7sk snrna methylphosphate capping enzyme
OG0001941	docking protein
OG0012642	atp dependent dna helicase hel
OG0008842	sestrin
OG0003375	v type proton atpase subunit c
OG0000679	importin
OG0009049	pancreas transcription factor subunit alpha
OG0014319	dual specificity protein phosphatase 1
OG0002987	olfactory receptor 51e2
OG0008374	galactose phosphate uridylyltransferase
OG0012090	disintegrin and metalloproteinase domain containing protein
OG0013629	kinesin protein kif
OG0013027	leucine rich repeat neuronal protein
OG0011953	rrp protein
OG0011672	3 phenylpropionate cinnamic acid dioxygenase ferredoxin nad + reductase component
OG0005586	proteinase activated receptor
OG0005067	nuclear factor nf kappa b p105 subunit
OG0012824	magnesium transporter mrs mitochondrial
OG0014560	ddb and cul associated factor
OG0012545	tyrosine protein phosphatase non receptor type
OG0015215	heterogeneous nuclear a2
OG0007140	protein entrep
OG0015433	complement
OG0013981	low affinity immunoglobulin gamma fc region receptor ii
OG0012755	protein phosphatase 1l
OG0002676	nacht lrr and pyd domains containing protein allele
OG0000964	protein slit
OG0008768	transcription elongation factor a protein
OG0000670	adp ribosylation factor binding protein gga
OG0004011	cyclin dependent kinase inhibitor
OG0014940	large ribosomal subunit protein ul
OG0012468	pituitary tumor transforming gene protein interacting
OG0003564	olfactory receptor
OG0008624	nurim
OG0010731	uv radiation resistance associated gene protein
OG0006704	partner and localizer of brca
OG0001018	lhfpl tetraspan subfamily member protein
OG0013954	melanocortin receptor accessory protein
OG0004986	nuclear pore glycoprotein p62
OG0007366	pleckstrin homology domain containing family g member
OG0003384	cell cycle serine threonine protein kinase
OG0011586	malectin
OG0013753	ectonucleotide pyrophosphatase phosphodiesterase family member
OG0014381	olfactory receptor protein
OG0014239	rna 3 terminal phosphate cyclase
OG0014105	dynein axonemal light chain
OG0015051	coxsackievirus and adenovirus receptor
OG0006224	manganese dependent adp ribose cdp alcohol diphosphatase
OG0006575	neurosecretory protein vgf
OG0000441	netrin receptor unc5c
OG0013921	unknown sequence family
OG0001582	lumican
OG0009711	ribosomal rna large subunit methyltransferase k l
OG0005695	cytoplasmic polyadenylation element binding protein 1
OG0006073	pancreatic secretory granule membrane major glycoprotein gp
OG0002461	coagulation factor x
OG0001625	nt growth factor receptor
OG0011589	hepatocyte nuclear factor 1 beta
OG0005668	huntingtin
OG0007264	zinc fingers and homeoboxes protein
OG0011727	fibroblast growth factor
OG0000523	3 oxoacyl [acyl carrier protein] reductase fabg
OG0001847	complement factor b
OG0008077	pan deadenylation complex catalytic subunit
OG0014417	liver carboxylesterase 1
OG0008132	ataxin protein
OG0000780	sorting nexin
OG0002920	cop signalosome complex subunit
OG0004280	erythropoietin receptor
OG0003032	olfactory receptor
OG0012024	leucine rich repeat protein
OG0012042	rab family interacting protein
OG0001936	dolichyl diphosphooligosaccharide protein glycosyltransferase subunit
OG0007861	proton coupled folate transporter
OG0000228	protein bex
OG0010772	large ribosomal subunit protein
OG0009816	cd antigen
OG0013588	serine protease inhibitor kazal type
OG0007206	myosin regulatory light chain 2
OG0002727	fc receptor protein
OG0012161	oxidative stress induced growth inhibitor
OG0012810	e3 ubiquitin protein ligase rnf
OG0015152	collagen alpha chain
OG0011819	trna pseudouridine synthase d
OG0012267	centrosomal protein of kda
OG0014298	latexin
OG0002982	nuclear receptor subfamily group a member 1
OG0002699	dna directed rna polymerases i and iii subunit
OG0011977	erlin
OG0007847	cytokine receptor factor
OG0014078	leucine rich repeat containing protein
OG0011901	homeobox protein hmx
OG0009579	hairy enhancer of split with yrpw motif protein
OG0005849	vinculin
OG0008486	spermatogenesis associated protein 31g1
OG0009305	armadillo helical domain containing protein
OG0005892	clathrin light chain
OG0003151	mitochondrial import inner membrane translocase subunit tim
OG0010613	trna dihydrouridine 47 synthase [nad p + ]
OG0000407	argonaute protein
OG0006740	rna polymerase i specific transcription initiation factor rrn
OG0010046	mitochondrial coenzyme a diphosphatase nudt
OG0006030	beta galactosidase protein
OG0003483	zinc finger and btb domain containing protein
OG0004420	caspase
OG0002415	zinc finger protein
OG0003802	immunoglobulin kappa variable 11
OG0013425	synaptonemal complex protein
OG0014447	killer cell lectin receptor subfamily i member
OG0014077	somatostatin receptor type
OG0008810	ga binding protein subunit beta
OG0014983	membrane bound o acyltransferase gup
OG0008472	transmembrane protein
OG0001694	synaptotagmin
OG0008690	kelch protein
OG0008858	laminin subunit alpha
OG0004669	olfactory receptor
OG0003584	protein eva
OG0005726	pacrg protein
OG0006917	protein bcap
OG0010623	hepatoma derived growth factor protein
OG0000991	egf containing fibulin extracellular matrix protein
OG0002170	l amino acid oxidase
OG0011123	ring finger protein
OG0004269	advanced glycosylation end product specific receptor
OG0015490	unknown sequence family
OG0008675	differentially expressed in fdcp
OG0008477	kinesin protein kif2a
OG0004831	dermatan sulfate epimerase protein
OG0009280	map kinase interacting serine threonine protein
OG0012464	transient receptor potential cation channel subfamily m member
OG0012384	keratin associated protein
OG0009734	protein spmip
OG0003209	trafficking protein particle complex subunit
OG0003295	scavenger receptor cysteine rich domain containing protein dmbt
OG0001793	metallophosphoesterase mpped
OG0013110	nucleosome assembly protein 1 2
OG0012784	solute carrier family member
OG0003244	small nuclear ribonucleoprotein associated
OG0001948	camp regulated phosphoprotein 19
OG0000529	olfactory receptor
OG0002863	macrophage expressed gene protein
OG0008335	malate dehydrogenase 1
OG0007444	tyrosyl dna phosphodiesterase
OG0006151	porimin
OG0008185	sterol regulatory element binding protein
OG0013129	endothelin receptor type b
OG0007932	sodium dependent phosphate transport protein
OG0010115	phospholipase a and acyltransferase
OG0005298	relt protein
OG0004143	zona pellucida sperm binding protein
OG0006378	ankyrin repeat domain containing protein
OG0003275	nucleolar protein
OG0005501	leucine rich repeat containing protein
OG0000445	gamma aminobutyric acid receptor associated protein
OG0002220	prosaposin
OG0010542	immediate early response gene protein
OG0003844	creatine kinase type mitochondrial
OG0003903	nuclear ubiquitous casein and cyclin dependent kinase substrate
OG0008506	small regulatory polypeptide of amino acid response
OG0013149	gem associated protein
OG0009411	lecithin retinol acyltransferase
OG0015422	3 4 alpha fucosyltransferase
OG0001014	sh domain containing adapter protein
OG0008257	coiled coil domain containing protein
OG0008209	sun domain containing protein
OG0001812	line retrotransposable element protein
OG0011746	lymphocyte activation gene protein
OG0002544	cell adhesion molecule ceacam
OG0002720	pre mrna splicing factor cwc
OG0014056	26s proteasome complex subunit sem
OG0002916	sideroflexin
OG0010425	ubiquitin carboxyl terminal hydrolase
OG0004271	proteasome subunit beta type protein
OG0014497	cyclin dependent kinase 2 associated protein
OG0012907	protein phosphatase regulatory subunit
OG0007604	transmembrane channel protein 2
OG0009782	protease associated domain containing protein
OG0008259	high affinity choline transporter
OG0000403	v type proton atpase kda subunit a
OG0003998	unknown sequence family
OG0003663	n alpha acetyltransferase
OG0010495	gamma interferon inducible lysosomal thiol reductase
OG0010830	gdp man 3 glcnac 2 pp dol alpha mannosyltransferase
OG0012442	lebercilin protein
OG0008426	protein jade
OG0000325	odorant binding protein 2a
OG0009575	cilia and flagella associated protein
OG0000213	small ribosomal subunit protein us
OG0012629	uroplakin
OG0012820	protein dek
OG0000007	cytochrome p450 2c55
OG0005485	rho guanine nucleotide exchange factor
OG0012071	fibronectin type and ankyrin repeat domains protein
OG0005177	low density lipoprotein receptor protein
OG0012865	secretory phospholipase a2 receptor
OG0004897	insulin peptide insl
OG0003836	beach domain containing protein
OG0004596	patatin phospholipase domain containing protein
OG0015507	cytochrome p450
OG0002670	swi snf matrix associated actin dependent regulator of chromatin subfamily e member
OG0013957	collagen alpha chain
OG0013147	mortality factor protein
OG0000470	kunitz type serine protease inhibitor
OG0003949	leucine rich repeat containing protein
OG0013774	bestrophin
OG0010839	cytidine and dcmp deaminase domain containing protein
OG0000358	cytochrome p450 4f3
OG0012367	receptor type tyrosine protein phosphatase
OG0003224	protein fam76b
OG0012729	translation initiation factor eif2b subunit epsilon
OG0007292	g2 m phase specific e3 ubiquitin protein ligase
OG0005294	wd repeat containing protein
OG0009465	cytosolic carboxypeptidase protein
OG0001900	forkhead box protein i3
OG0002219	pterin alpha carbinolamine dehydratase
OG0012362	coenzyme a biosynthesis bifunctional protein coabc
OG0014355	small integral membrane protein
OG0004730	f box only protein
OG0012251	tp binding protein
OG0001152	lysine specific demethylase
OG0014472	nidogen
OG0010745	large ribosomal subunit protein ml
OG0006831	atp synthase subunit c lysine n methyltransferase
OG0014532	zinc finger protein
OG0005072	nectin
OG0002954	dcn protein
OG0005749	neurogenic differentiation factor
OG0003271	dual specificity protein phosphatase
OG0004752	wd repeat containing protein
OG0007241	lbh protein
OG0006263	ubiquitin carboxyl terminal hydrolase 22
OG0005327	proton coupled zinc antiporter slc30a5
OG0007613	large ribosomal subunit protein ml
OG0003786	atp binding transporter abc
OG0001644	uba domain containing protein 2
