Annotee-Identifier	Human-Readable-Description
OG0003104	olfactory receptor protein
OG0004363	galactose o sulfotransferase
OG0009628	solute carrier family member
OG0009928	secretoglobin family 1c member
OG0005055	reticulon
OG0005790	nuclear pore complex protein nup
OG0011152	tubulin polyglutamylase ttll
OG0013195	wd repeat containing protein
OG0003999	olfactory receptor protein
OG0003478	surfeit locus protein
OG0002192	histone binding protein rbbp
OG0001871	arf gap with ank repeat and ph domain containing protein
OG0013814	large ribosomal subunit protein ml
OG0001328	keratin type ii cytoskeletal
OG0014749	unknown sequence family
OG0011551	protein phosphatase ptc fig
OG0005824	peroxisomal leader peptide processing protease
OG0010122	zinc finger and btb domain containing protein 1
OG0000013	olfactory receptor 5ar1
OG0010868	cis aconitate decarboxylase protein
OG0007275	ddb and cul associated factor
OG0009143	3 hydroxyisobutyrate dehydrogenase mitochondrial
OG0008481	protein fam219a
OG0012973	carbamoyl phosphate synthase large chain
OG0005468	d 1 dopamine receptor
OG0007775	disks large
OG0003330	nedd activating enzyme e1 regulatory subunit
OG0014248	melatonin receptor type
OG0007126	tetratricopeptide repeat protein
OG0010876	glypican
OG0003510	heterogeneous nuclear ribonucleoprotein
OG0007840	cyclin d1 binding protein
OG0004251	bcl associated agonist of cell death
OG0004464	tir domain containing adapter molecule
OG0010266	guanine nucleotide binding protein
OG0013542	cytochrome c oxidase subunit mitochondrial
OG0013768	alpha mannosylglycoprotein 6 beta n acetylglucosaminyltransferase a
OG0006721	eri exoribonuclease
OG0000621	olfactory receptor 51e2
OG0009955	comm domain containing protein
OG0008509	venom allergen
OG0009051	myosin light chain kinase smooth muscle
OG0004147	signal peptidase complex catalytic subunit
OG0011576	bicd family cargo adapter
OG0014670	olfactory receptor protein
OG0013670	f box only protein
OG0014622	glucagon peptide receptor
OG0008158	g2 and s phase expressed protein
OG0005338	pentatricopeptide repeat containing protein 2 mitochondrial
OG0005319	e3 ubiquitin protein ligase rnf
OG0014420	olfactory receptor
OG0010061	coiled coil domain containing protein
OG0010455	alsin
OG0002825	cytochrome b c1 complex subunit 6 mitochondrial
OG0010171	sodium channel and clathrin linker
OG0013032	lamina associated polypeptide 2 isoforms beta
OG0001433	nicotinamide riboside kinase
OG0002938	kunitz type serine protease inhibitor
OG0013077	prefoldin subunit
OG0015464	mas g protein coupled receptor member x2
OG0009254	proteasome subunit beta type
OG0000838	dynein light chain 1 cytoplasmic
OG0012727	presenilin associated rhomboid protein mitochondrial
OG0009563	phosphatidylinositol bisphosphate 3 phosphatase mtmr
OG0009371	sodium coupled monocarboxylate transporter
OG0007554	tubulin specific chaperone d
OG0009946	cell cycle exit and neuronal differentiation protein
OG0005105	synapse differentiation inducing gene protein
OG0002381	suppressor of cytokine signaling
OG0001281	c type lectin domain family member a
OG0007966	a disintegrin and metalloproteinase with thrombospondin motifs
OG0008153	gpi mannosyltransferase
OG0007418	ergosterol biosynthetic protein
OG0002199	aflatoxin b1 aldehyde reductase member
OG0002645	zinc finger bed domain containing protein
OG0010744	cytochrome c oxidase assembly factor mitochondrial
OG0007729	endoplasmic reticulum protein sc
OG0007580	adp ribosylation factor protein
OG0009373	transcription factor spi
OG0007286	nuclear factor of activated t cells
OG0000434	serine incorporator
OG0013474	inactive selenide water dikinase protein
OG0002482	rho gtpase activating protein
OG0005148	alpha ketoglutarate dependent dioxygenase alkb
OG0003193	spermidine synthase
OG0004911	serine threonine protein kinase wnk
OG0003311	proteasome subunit beta type protein
OG0001768	refilin
OG0002480	protein fam
OG0003967	olfactory receptor protein
OG0013409	variable charge x linked protein
OG0007878	serine threonine protein kinase tao
OG0008128	transmembrane protein
OG0004305	substance k receptor
OG0014736	zinc finger protein
OG0008718	ribosomal rna processing protein
OG0007134	kda ras protein
OG0003929	chromatin modification protein eaf
OG0006559	18s rrna guanine 1575 n 7 methyltransferase
